isbn13,isbn,title,author,publisher,pub_date,price,price_standard,category,cover_url,link,query_type,category_id,rating,review_count,sales_point,description,synced_at
9788925588735,8925588730,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이)",알에이치코리아(RHK),2021-05-04,19800,22000,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,https://image.aladin.co.kr/product/27045/43/coversum/k692135851_3.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373&amp;partner=openAPI&amp;start=api,Bestseller,0,9.0,0,454400,"데뷔작 《마션》과 후속작 《아르테미스》가 연달아 대성공을 거두며 뉴욕 타임스와 아마존 베스트셀러에 이름을 올린 명실상부 최고의 SF 작가, 앤디 위어의 신작. 지구를 구하기 위해서 정작 스스로는 지구로 돌아오지 못할 헤일메리호에 오른 ‘좋은 사람’인 주인공의 이야기가 펼쳐진다.",2026-04-30T05:10:19.483861+00:00
9791142350283,K882138678,포켓몬 생태도감,"주식회사 포켓몬 (지은이), 기노시타 치히로 (그림), 이선희 (옮긴이), 요네하라 요시나리 (기획)",대원씨아이(단행본),2026-04-29,13500,15000,국내도서>어린이>과학/수학/컴퓨터>생물과 생명,https://image.aladin.co.kr/product/39176/41/coversum/k882138678_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391764120&amp;partner=openAPI&amp;start=api,Bestseller,0,10.0,0,132790,"1,000종이 넘는 포켓몬이 자연 속에서 어떻게 살아가고, 서로 어떤 관계를 맺는지를 생태학 관점에서 분석한 특별한 도감이다. 「포켓몬스터」시리즈에 등장하는 「포켓몬 도감」을 바탕으로, 포켓몬마다 생태의 ‘차이’, ‘공통점’, ‘법칙’, ‘연결고리’ 등에 주목해 알기 쉽게 해설하였다.",2026-04-30T05:10:19.483861+00:00
9791141602376,K462039240,안녕이라 그랬어,김애란 (지은이),문학동네,2025-06-20,15120,16800,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,https://image.aladin.co.kr/product/36566/52/coversum/s632135953_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217&amp;partner=openAPI&amp;start=api,Bestseller,0,10.0,0,300883,소설가 김애란이 『바깥은 여름』 이후 팔 년 만에 새 소설집으로 돌아왔다. 2022 김승옥문학상 우수상을 수상한 「홈 파티」와 2022 오영수문학상 수상작인 「좋은 이웃」을 비롯해 총 일곱 편의 단편이 수록되어 있다.,2026-04-30T05:10:19.483861+00:00
9791175487802,K982137650,흔한남매 22,"흔한남매 (지은이), 백난도 (글), 유난희 (그림), 흔한컴퍼니 (감수)",미래엔아이세움,2026-04-29,15120,16800,국내도서>어린이>TV/만화/영화>만화 일반,https://image.aladin.co.kr/product/39134/78/coversum/k982137650_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391347886&amp;partner=openAPI&amp;start=api,Bestseller,0,10.0,0,78760,"함께라면 언제나 즐거운 흔한남매의 유쾌 발랄한 일상. 절친과 그냥 친구의 차이점, 집 안에서 벌어지는 마술 쇼, 학원 버스 친구 유형 등 으뜸이와 에이미의 이야기가 웃음꽃을 피운다. 유튜브 구독자 303만 명, 누적 조회 수 42억 회를 기록한 인기 크리에이터 흔한남매의 코믹북이다.",2026-04-30T05:10:19.483861+00:00
9791141603373,K732137654,백지 앞에서,최은영 (지은이),문학동네,2026-04-30,15750,17500,국내도서>에세이>한국에세이,https://image.aladin.co.kr/product/39137/0/coversum/k732137654_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391370049&amp;partner=openAPI&amp;start=api,Bestseller,0,10.0,0,58690,"소설가 최은영이 데뷔 이후 13년 만에 처음으로 산문집을 출간한다. 2024년 가을부터 2025년까지 써내려간 6편의 새로운 원고에 기존에 발표한 4편의 원고를 고치고 더해 완성한 책으로, 한 편 한 편이 단편소설에 가까운 긴 호흡으로 이어지며 최은영 특유의 “정서적 중량감”(문학평론가 서영채)을 고스란히 느끼게 한다.",2026-04-30T05:10:19.483861+00:00
9791175772748,K322138670,"21세기 대군부인 대본집 세트 - 전2권 (대본집 1, 2권 + 자개 문양 케이스)",유지원 (지은이),스튜디오오드리,2026-05-18,54000,60000,국내도서>예술/대중문화>영화/드라마>시나리오/시나리오작법,https://image.aladin.co.kr/product/39183/13/coversum/k322138670_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391831303&amp;partner=openAPI&amp;start=api,Bestseller,0,0.0,0,59310,"뜨거운 화제 속에 방영된 드라마 〈21세기 대군부인〉이 무삭제 공식 대본집으로 출간된다. 〈21세기 대군부인〉은 대한민국이 입헌군주제를 유지하고 있다는 독창적인 설정 아래, 대한민국 최고 재벌가의 딸이지만 ‘평민’이라는 신분의 벽 앞에서 번번이 좌절하는 성희주와, 왕의 아들이지만 어떤 것도 온전히 가질 수 없는 이안대군의 사랑과 선택을 그린 작품이다.",2026-04-30T05:10:19.483861+00:00
9791194344438,K622138169,구멍청,백희나 (지은이),Storybowl(스토리보울),2026-05-01,15300,17000,국내도서>유아>그림책>나라별 그림책>한국 그림책,https://image.aladin.co.kr/product/39169/48/coversum/k622138169_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391694882&amp;partner=openAPI&amp;start=api,Bestseller,0,9.0,0,46260,"마음속 깊은 구멍을 정성껏 달여 만든 달토끼 식당의 특별한 한 그릇. 백희나의 《구멍청》은 지친 존재에게 거창한 해결책 대신, 다정한 작은 해소를 건넨다. 당신의 구멍은 무엇인가. 잠시 숨을 고르고, 달토끼들이 정성껏 차려낸 구멍청 한 그릇 앞에 앉아 보자.",2026-04-30T05:10:19.483861+00:00
9791141603250,K232137415,2026 제17회 젊은작가상 수상작품집,"김채원, 길란, 남의현, 서장원, 위수정, 이미상, 함윤이 (지은이)",문학동네,2026-03-31,6930,7700,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,https://image.aladin.co.kr/product/38989/43/coversum/k232137415_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389894398&amp;partner=openAPI&amp;start=api,Bestseller,0,8.0,0,93470,한국문학의 미래와 함께하고자 2010년 제정된 젊은작가상이 2026년 올해로 17회를 맞이했다. 올해 젊은작가상에 이름을 올린 수상 작가는 김채원 길란 남의현 서장원 위수정 이미상 함윤이다.,2026-04-30T05:10:19.483861+00:00
9791199489530,K382137182,무례한 세상에서 나를 지키는 법,"발타사르 그라시안 (지은이), 하와이 대저택 (편역)",논픽션,2026-03-13,17820,19800,국내도서>자기계발>인간관계>인간관계,https://image.aladin.co.kr/product/38816/95/coversum/k382137182_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388169547&amp;partner=openAPI&amp;start=api,Bestseller,0,9.0,0,97535,"철학자 쇼펜하우어와 니체가 인생의 스승으로 삼았던 마키아벨리스트, 발타자르 그라시안의 사상을 가장 날카롭게 정제한 조셉 제이콥스의 1892년 판본을 저본으로 삼았다. 95만 구독자의 삶을 변화시킨 ‘하와이 대저택’은 사전적 의미에 갇힌 죽은 언어는 모두 걷어내고, 소음이 가득한 2026년을 살아낼 독자들의 현실을 덧입혀 문장을 완벽하게 재탄생시켰다.",2026-04-30T05:10:19.483861+00:00
9791138934428,K062033624,"2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 - 한국사능력검정시험 심화(1,2,3급)에 대비한 맞춤 기본서",최태성 (지은이),이투스북,2025-12-09,17100,19000,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",https://image.aladin.co.kr/product/37896/93/coversum/k062033624_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=378969369&amp;partner=openAPI&amp;start=api,Bestseller,0,0.0,0,132885,"큰별쌤 최태성이 핵심만을 모아 아트 판서로 정리한 한능검 심화 대비서다. 사료·사진·지도 해설, 기출 선택지 기반 문제, 최신 기출 해설, 연표·지역사 지도까지 담아 흐름과 실전을 모두 잡을 수 있도록 구성했다.",2026-04-30T05:10:19.483861+00:00
9791138934442,K082033624,"2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하 - 한국사능력검정시험 심화(1,2,3급)에 대비한 맞춤 기본서",최태성 (지은이),이투스북,2025-12-09,16650,18500,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",https://image.aladin.co.kr/product/37896/96/coversum/k082033624_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=378969617&amp;partner=openAPI&amp;start=api,Bestseller,0,0.0,0,122825,"700만 수험생이 선택한 한국사 실력 UP 시스템이다. 아트 판서로 흐름을 잡고 사진·도표·사료로 개념을 보완하며 최신 기출과 해설로 실전을 대비한다. 기출 모의고사와 한국사 연표, 단권화 노트까지 제공하고 전 강의는 유튜브와 홈페이지에서 무료로 볼 수 있다.",2026-04-30T05:10:19.483861+00:00
